lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
150,0.5,1.147700271,1.647700271,29526.99526,54434.12218,156980.7428,1.071428571,1.285714286,1.41121066,1.41121066,1.862745098,1.862745098,0.5,0.214285714,0
151,0.5,1.147700271,1.647700271,20614.38518,43909.032,158677.29,1.285714286,1.714285714,1.277449473,1.277449473,1.960784314,1.960784314,0.5,0.428571429,0
152,0.5,1.147700271,1.647700271,29551.87244,46698.24324,117696.7853,1.214285714,1.785714286,1.32077122,1.32077122,1.588235294,1.588235294,0.5,0.571428571,0
153,0.5,1.147700271,1.647700271,28355.46287,52979.13426,146039.6851,1.071428571,1.357142857,1.402643248,1.402643248,1.784313725,1.784313725,0.5,0.285714286,0
154,0.5,1.147700271,1.647700271,18775.49652,56290.82,121285.1686,1.285714286,1.785714286,1.433711587,1.433711587,1.529411765,1.529411765,0.5,0.5,0
155,0.5,1.147700271,1.647700271,21562.36909,53988.91097,109803.9132,1.214285714,1.642857143,1.412375322,1.412375322,1.431372549,1.431372549,0.5,0.428571429,0
156,0.5,1.147700271,1.647700271,22311.53135,52987.21922,153134.8837,1.142857143,1.5,1.397031209,1.397031209,1.843137255,1.843137255,0.5,0.357142857,0
157,0.5,1.147700271,1.647700271,18175.49038,69325.32134,125140.3236,1.214285714,1.642857143,1.570930151,1.570930151,1.431372549,1.431372549,0.5,0.428571429,0
158,0.5,1.147700271,1.647700271,17438.19008,58262.00214,103380.2065,1.214285714,1.571428571,1.461101938,1.461101938,1.294117647,1.294117647,0.5,0.357142857,0
159,0.5,1.147700271,1.647700271,20888.39729,47849.66896,118848.211,1.357142857,1.642857143,1.335751913,1.335751913,1.588235294,1.588235294,0.5,0.285714286,0
160,0.5,1.147700271,1.647700271,23684.04945,45015.09219,157312.0771,1.142857143,1.5,1.295887646,1.295887646,1.941176471,1.941176471,0.5,0.357142857,0
161,0.5,1.147700271,1.647700271,18430.24264,65244.59702,128315.4511,1.285714286,1.714285714,1.532104976,1.532104976,1.509803922,1.509803922,0.5,0.428571429,0
162,0.5,1.147700271,1.647700271,25825.54197,63919.21818,114807.7649,1.214285714,1.714285714,1.520641878,1.520641878,1.37254902,1.37254902,0.5,0.5,0
163,0.5,1.147700271,1.647700271,22115.57608,44178.87711,92060.52022,1.214285714,1.571428571,1.278951939,1.278951939,1.333333333,1.333333333,0.5,0.357142857,0
164,0.5,1.147700271,1.647700271,23232.95935,47515.45909,87917.21792,1.214285714,1.642857143,1.325966319,1.325966319,1.215686275,1.215686275,0.5,0.428571429,0
